"text","positive","negative"
" and guess what ! ive got 20 % ! wow its impossible","0","1"
"upgraded","0","0"
"Willie is pouting because Grandma didn`t put any treats on my food  http://apps.facebook.com/dogbook/profile/view/6877293","0","1"
"I love to jazzercise with Mrs. Underwood. I wish she was my chaperone.","1","0"
"Well just left six flags. Didn`t get to ride what i wanted to. Bummer.   maybe next time.","0","1"
" cold and rainy","0","0"
"HAPPY MOTHERS` DAY!","1","0"
"'I can givee you anything but lovee' - Daniel Schuhmacher","0","0"
"apparently you are not getting on anymore... sad","0","1"
"has a gym day and is hoping to enjoy the last Friday of her twenties.","1","0"
"I have a headache. And I have nobody to keep me company.   _wants.to.be.a.kidd.again<3","0","1"
"Wish I didn`t have to work today.","0","0"
" I really don`t want to send it over this site....it`s kinds private...","0","0"
"hanging with the cousin","0","0"
"   I tried that pincode... and it says it is expired... you only just put it up.","0","0"
"Can you believe it:Tomorrow Night will be Jay Leno`s last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.","1","0"
" what did someone do? and good morning","1","0"
"  Is George still mending the car ?","0","0"
" hhhhhhaaaaaaaaaaaaa!!!! Yo u hve me in tears!...its all  fault he said u cancelled so I thought....","0","0"
"my finger hurts cause its infected!","0","1"
"why does zero have to have thomas in it?","0","0"
" Wonderful trip!  Read all 4 Twilight novels.  Completely all consuming and engrossing.  Kinda sad to be done.","0","0"
"_carter it says the video is private... and won`t let me watch","0","0"
"Don`t know what the heck to do with the space of time between now and BGT    Bored.","0","1"
" wellll...... only 2 that will feed me   the others were mainly shade loving native wildflowers.","1","0"
"Aw I wish I was in Ireland  ","1","0"
"I lost followers  Was it something I said?  I swear I am not into freeballing.  Ugg that is the last time I mention that thing.","0","0"
"Ahh I`m so confused  what can I do? I don`t wanna run away but can I really handle a real relationship? What is love anyways.. False hope!","0","1"
" so great to hear from u again today! U r the best! Cannot wait to see u on the cruise!!! <3 Cindy with the sign","1","0"
"In pillow heaven","1","0"
" Lol at the VATS on The Insiders","1","0"
" http://twitpic.com/416b7 - hey! nice pic","1","0"
"my sidekick is awkward flashing. oh well. leaving my mommy out her flowers and stuff","0","1"
" Yeah.","0","0"
"i am leaving soon for Kansas City to take some of my stuff. Only 8 days of living in Carthage left.","0","0"
"Searching for wavy hairstyle","0","0"
"no luck in goin to forum.. im about the only person on earth not goin out","0","1"
" Im goodie. I feel like we are so disconnected","0","1"
"can`t go to the movies today","0","1"
"awww poor little girl on britains got talent","0","1"
" sadly my corporate giant employer won`t let me get to that site...","0","1"
"happy mother`s day mom. love you always","1","0"
" Yes sir...I just acquired a Master of Arts in Christian Ministry-a loooooong journey completed today...so thankful!","1","0"
"poor bella is in the ER with her first and second ear infection since both ears are infected. Her screams were blood curdling!","0","1"
" LOL I can imagine you doing that. Ken said to let you know he agreed with a gazillion percent of what was being said.","0","0"
"off to work again ... mercedez`s last day","0","0"
"lovely night of steve-o and family guy. off to bed.","1","0"
"_b BF @ gig in Portland OR.  That`s not driving distance to come save me from Burbank. I stuck ATM.  Working on plan B","0","1"
"another build failed! something is not right in the big scheme of things!","0","1"
" Been meaning to email you for months. Your pre-reunion party must be coming up soon. Really wish I could be there. >140 char soon","1","0"
"went swimming with the fam for over 2 hours! we`re a little toasty","0","0"
"Excited to see the girls today;  its boring at work without you","0","0"
" majorspoilers.com has problems - cannot get the site working","0","1"
" it was ok. Cute @ times.","1","0"
"Feel hurt. in car. gonna watch a funny movie. someone talk","0","0"
" nice .. I can`t ever get that from my ex!","1","0"
" Yep! It`s just quarter til 4 now.  I`m going to try to sleep now that my headache is subsiding. Take it easy Teddy!","0","1"
"Interesting. I type `bike` i get 10 bike company followers. `Download` gets me 5 IT companies. Amused.  Can you say `keyword`?!","1","0"
"SB 239K.  Flop A Q 9.  4 players check. Turn 9. I check call 200 bet. River brick. I check call with trip 9`s with K kick. He shows A9.","0","0"
"http://bit.ly/TGVR7  via  thank you tiff","1","0"
"is wondering y Mother Nature is making my life miserable","0","1"
"I like  already  (new follower to join in midst of zombies mayhem)","1","0"
"_Blogs Congratulations lovely Japanese Children Happy Kodomo no hi","1","0"
" always good to see you - even in cyberspace","1","0"
"i neeeeeeeed music suggestions but no one will give them","0","0"
"One lane stop and go trafffffffic suckssss! Almost to wwork thanks to **** miinnnesota roads","0","1"
"  I have one fastsmallballbuster`y question. & I promise not to weirdherout w/the fact it MAY be on my visionboard","0","0"
" Thanks for the thoughts... Unfortunatly it didn`t work out like we hoped... ah well. The paintings were beautiful.","1","0"
" - nice how the lifelock suit was brought by experian basically to reduce processing costs caused by ppl who don`t want id theft","1","0"
" 9 days  I`m about ready to visit Torchwood and see if they`ve heard anything","1","0"
"my last tweet didn`t send  bad phone","0","0"
"Had the best wknd with her man and levi and sara love u guys","1","0"
"need to go to work soonish but i really dont want to  also trying to save money... life is fab (not)","0","0"
"Thai food with Natalie. She loves this stuff. That makes me smile.","1","0"
"When we got more followers we gonna have a competition.Hope you all look forward !","1","0"
" I have an even dozen.  thanks for reminding me. I quilt 2 and make 3. LOL","0","0"
"nothing","0","0"
"_B_ Shes bad they won`t sort her out and is in a lot of pain","0","1"
"Just saw Star Trek. I am not a hardcore fan or anything but it was really good! Get at it","1","0"
" Have you been going to the Trop for the last 5 years?  No more games for you!","0","0"
" Looks like they dialed it in a LOT...payed attention to all the small but important details in gameplay...still no blood tho","0","0"
" see u bye see u!  i love the hot30","1","0"
"borred what everyone doingn check out links on my profile","0","1"
"In children`s hospital ER hoping Meredith does NOT have a broken elbow/arm","1","0"
" online! www.dujourmag.com/subscribe","0","0"
"Yah! Feeling better and had a beaut day - Sophie razzing it at the skateboard park (at all of 3 yrs) and Charli happy at school","1","0"
" i wish i was home in bed naked","0","1"
" haha FINALLY !!  hiii friend .","0","0"
"Dude my butt itches  but i cant scratch it cause ppl r here","0","1"
" LOL how many stalkers today?you just love getting creepy stalkers","1","0"
" Yayyyyyyyyyyy!!!!! but thats sp far away!","0","0"
"Work is an evil ****. That doesn`t let me check my text messages","0","1"
" lol I am blessed to have you in my life too 'mama'  Sorry about your back pain. You should do some stretches.","0","0"
"Woo hoo! My happiness score is 612. Apparently I am over-the-top happy. Considering the week I`ve had....","1","0"
"_autism BUT on the bright side you`re on twitter! Morning!","0","0"
" not all of them  You`ll be missing mine and everybody else`s on the east coast!!!!!","0","1"
" ohh i love green and purple.. and BLACK!","1","0"
" haha neither am I. It doesn`t matter though you guys do what you want","0","0"
" well then take your sexy **** to sleep then foo.  how as your weekend mami?","0","0"
" o its feels like a hot box and no matter where i go in here it still feels like a hot box! ice cream isn`t working n e more","0","1"
"I would rather end up heart broken then have regret because i didnt take a chance","0","1"
" i like the positivity  And no. you may NOT change your carrer. crazyb dog lady just isn`t the same.... when`s your maths test? x","1","0"
"cynthia and jenny are spamming my twitter! haha","0","0"
" I`M A CELEBRITY TOOOOO!","0","0"
" - SO.... yeah. I VERY much appreciate that.","1","0"
"I`ve experienced apathy over empathy in customer service situations too many times recently.","0","1"
"Last week of class... Well technically classes are over just have two exams  and summmmmerrrrr begins...yeahhhhhyaaaaaa","1","0"
"is happy that tiff can`t drop BIO so she can suffer with me  nyayhahahah!","0","0"
" We want pictures as proof though","0","0"
"So.. finally finished setting up my  account. Will switch from  during this week","0","0"
" New constructions poping up all over there now","0","0"
"I am hungry already. Not impressed! And everybody has gone to Rubys","0","1"
" Yea I think I waited to long. oh well. thats cool. I should have signed up for more but I`m already done with core classes","1","0"
" wish you were on your way to Tampa! FL girls are missing ya!","0","0"
"Mmm wasabi coated peanuts! Burns so good","1","0"
"Was supposeddd to hang out with al but her mommy wont let her  now what to dooo? Blah. Hahaha","0","1"
"Happy Mother`s Day.. To All The MommiiEs Owt Theaa... & ii Think ii Got Thaa Hang Of ThiiS ThiiNg.. Yay!!!","1","0"
"Making my momma a happy mother day card <3 I love my mommy","1","0"
"I watched wayyyy too much Beverly Hills 90210 today and I am not proud of that fact.  TV FAIL","0","1"
" Thanks for the info","1","0"
" happy birthday man! my ride to the wedding  i`ll see you guys soon though. you play here JULY 27th!","1","0"
" anyways have a severe headache ryt now! i jst love dis cup of tea i made me self!! its makin the headache go away","0","0"
" Walaikum assalam...  Alhamdulillah... I`m in Chicago the w`end of May 29th... Are you there? Would be nice to meat... Duas!","1","0"
"just woke up from a nap...","0","0"
"i dont wanna do this anymore! but the couch is jus sittin in the middle of the floor. do i really HAVE to finish?","0","0"
"Good morning world! I feel really sick.","0","0"
"Can`t find any pictures  !!!","0","0"
"just got Home from school!  it was fun ) oh btw its a music school.","1","0"
"ps it`s rainging","1","0"
"Why don`t adobe realise no one WANTS to pay for Photoshop et al so they should just give it to us for free","0","0"
"finally getting sleepy right when the sky brightens ... figures! G`nimorning","1","0"
"I <3 Owl City.","0","0"
"i want a top that says ` www.bilko22.com `","0","0"
"Has been underpaid  just when i really didn`t need to be as well.","0","1"
"_Schools haha funny cause i blame  and  for me not going to bed  its a vicious circle","0","0"
"and I bought FOUR ties  http://tinyurl.com/pvajlm","0","0"
"Trying to stay upbeat while I wait to get my keys out of my locked car","0","0"
"Fun at the water park then dinner at the rainforest cafe (all free!) then party tonight  pretty good Saturday I think.","1","0"
"watching 'Knowing' and lovin it","1","0"
" Thanks! Fotoreportage coming soon","0","0"
"ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.","0","0"
"Ugh going to town. I can never rest!  wants to go to tylers but who knows when i will get back. (exausted)","0","1"
"My twitter is on c r a c k","0","1"
"Okay so I`m trying to be happy and deal with my problems and my friends` also. Its hard","0","1"
"_Dude Very nice. Good night","1","0"
" that sounds foreboding...","0","1"
"man u know things get very interesting sometimes lolll....im just 2 **** good","1","0"
"4th may officially announced as `bad luck day` ..","0","1"
"Time to rinse out my conditoner","0","0"
"you know you love your mom when you stay up this late just to wrap her gifts (which look glorious) & hand-make a card.. happy mothers day","1","0"
"  no room for me smh","0","1"
"wants to go swimming","0","0"
" hahaha well why would you smack ME for that?!  hahaha THE BIG BANGGG","0","1"
"_flores aww i don`t! i guess that`s why it doesnt  (blackberrymessenger)","0","1"
"Wrestlefest was fun! Now tune into www.latalkradio.com from 2-3 sunday and chat with me","1","0"
"woo hoo its friday!! ....wait.... i have to work at the cleaners tomorrow.","1","0"
"I hate the fact that I`m 4.5 hours away from you tonight and tomorrow we`ll be 1946 miles apart  I wish you were here (","0","1"
"will be doing all the chores just for her mama","0","0"
"I would LOVE to ride the superman right now...","1","0"
"So tired and I have to work till 10:30 tonight!    Happy mothers day to everyone too  http://tinyurl.com/qu62bl","1","0"
" any chance at getting to see this?  I can be there within an hour","0","0"
"I wish I lived closer to the girls.  I`m tryna chill on a Friday night!    ( next weekeeend! Drink all day AND night?!)","1","0"
"_Trainr Thanks for the link.  It made me smile","1","0"
"i say business ive only sold 2....and its not RL money  ...but its got me back into photoshop again","0","0"
"I guess its bedtime. Goodnight twitter.  my bed is so big and empty without him.","1","0"
" looool .. me 2 !! ana i will vote 7ag ele ye6le3ni taqa3od now","0","0"
"I`m going to town on these two dinner rolls and some dark chocolate  yummmm","1","0"
"Greg Pritchard was ROBBED of a place in the final of BGT... Cry baby ****-face got through instead","0","1"
"_x little Taylor? i feel sorry for the way she spells her name","0","1"
"Also with the not driving part i could afford a laptop. Also living with a roommate i would save even more","1","0"
"i lost mx way","0","1"
"chilling at the casa","0","0"
"Heading home","0","0"
"sign up for tarte news http://tinyurl.com/dde2v6 my intro in the newsletter AND 20% off first purchase 2for1","0","0"
" The portuguese national library could use it also. Right now they seem to be in a ca. 1995 web. Example http://u.nu/7y68","0","0"
"Adventures with jamie and bethhh","0","0"
"Feels very ucky today... I need more DEFENSE Vitamin Water because I don`t want to be sick no mores","0","1"
"bought awesome shooeessss","1","0"
" just took the Terminator trilogy :-D but what I need is actually TV series and I still can`t find anything tempting","0","1"
"Eatin nachos watchin the game.!  all i gOtta say is LebrOn is a Beast. ! dO anybOdy feel me.?","0","0"
"IS BORED. Can`t even tease people now","0","1"
" Aw how come ur up so early? love ur youtube vids btw","1","0"
"help! anyone know if there are stores that carry blackberry trackballs? just went to verizon retailer; no luck. do not want to order one","0","1"
" how sweet","1","0"
" cool and aww","1","0"
"sooo tired of this cubicle","0","1"
"is sad because his tea and oatmeal are cold","0","1"
" http://twitpic.com/67w20 - Jordan baby was talking to me!!!! I wish I coulda met you!! ugh","1","0"
"Nooooothing to do tonight","0","1"
" if only I had half the drive you had!!!  You are my idol","0","0"
" That is EXACTLY how I feel right now.","0","0"
" tegan and sara fan? follow them ","0","0"
"Doin the **** Thing Here at the Crib..Bout to Watch Star Trek... Yup","0","0"
"babysitting kids who won`t let me play wii with them","0","1"
" we should all be down to earth. don`t none of us walk on water  I`m just some **** nerd trying to find my way thru life lol","0","0"
"in desperate need of some tweets to cheer me up","1","0"
"My english is broken","0","1"
" good and you cup cake","1","0"
" I am glad to hear that you are ok. Without you they would have to rename the show to  'Just Friends'","1","0"
" ohhhh excellent song..hello my friend!","1","0"
" I`m sleeping on the wooden couch tonight!","0","0"
"time to lie in bed and watch tv","0","0"
"had a thrilling time with DAS joyride roadtrip! nice driving Pai and Paulo.  http://plurk.com/p/rrg18","1","0"
"Omg i here thunderrrr i wish i was home  i love cuddling with a blanky during a storm","0","0"
"  Thank you","1","0"
"ughhh seriously hung over","0","1"
"_shields06 good job!  I wish i worked in a zoo","1","0"
"Of back off other peoples he can only have one stalker","0","0"
"I need some DRANK & 'GRAPE KONTAKT' from my girlies  lol SOOOO SERIOUS!","0","0"
" I was sad to hear they shaved too  I really liked the beards. I feel like I`m in the minority.","0","0"
"Roasting to most probably death","0","1"
" oh great.","1","0"
" How would I know if u didn`t tell me??? Too busy cakin to pay me any attention","0","1"
"Mode: Home Office","0","0"
" oh oh oh are you offering to send ducks!  I love love love confit duck","1","0"
"off to glue stuff onto poster","0","0"
"Beautiful Day..takn it down twitters  tell ALL mothers Happy Mothers Day","1","0"
"wished didnt spend money last night","0","1"
" yo wake your **** up  and go to work  go get that paper  u aint sick dont lie","0","1"
"Such a beautiful morning","1","0"
" whats with u hating on becky soo much? ur bio says ur nice....guess not","0","0"
"90210 9pm  I laaaaaaaaave it.","1","0"
"Nooo...i forgot my calculator for physics   oh well class is allmost over :3","0","1"
"Shower head broke while i was in the shower and shot straight @ my head.may get a welt later on from it","0","1"
" I left that for people to complete","0","0"
"going out to see star trek   be back in a while","0","0"
"arrghh stupid eczema      i have to go soon. sort it OUT! :/","0","1"
" very long by the sounds of things... But deadlines are Deadlines...","0","0"
"TGIF... Hubby dragged me out to buy car parts. I am tired n cranky","0","1"
"happy mother`s day","1","0"
"I wonder how effective these street preachers are....   http://twitpic.com/67qhz","1","0"
"wondering if anyone has seen my cell phone i cant find it anywhere","0","1"
"its getting really windy out there","0","0"
" psh... I`m not cool enough to go to their open-houses.","0","1"
" No I haven`t made my page yet.  Had to work","0","0"
"At the dentist for Hopes first check up. Lets she how she handles a dentist.","0","0"
"I dont believe in my eyes or should I say on my browser? OMG OMG OMG","0","1"
" a whole season behind the US now","0","0"
"It`s 11:05 and I`m already on my lunch break","0","0"
"last night in newport","0","0"
" I can`t shes taken my keys to muh car.","0","0"
"  just listened to the songs on your myspace.  really good","1","0"
" SSSSSSSSSSMACK!!!! Get back at it girl!  Are you doing WW?","0","0"
" I can`t work out if you`re into diesel or rice burners.","0","1"
" Ich will auch zu Pinkpop","0","0"
"Oh good. I get to be the gooseberry all night now that katy isn`t coming","1","0"
"is wondering why no one else is following it....  C`mon people!","0","0"
"has plopped TWICE! TWICE!  http://plurk.com/p/svs0y","0","1"
" for sure....I still got 2 hrs till I will be home at the fridge  but then BEER BEER BEER lol","0","0"
"talking to my BABE  he`s amazing","1","0"
"  _Vincent  @ i missed the party!!!!  i bought wine and everything!!!","0","1"
" http://twitpic.com/4phze - Awe! I miss my baby","0","1"
"TGIF. I don`t feel good.","0","1"
"Now english academy","0","0"
"Going into liverpool soon","0","0"
"spring pictures today  going to schoooool","0","0"
"McDonalds in the car.  http://tinyurl.com/onoger","0","0"
"Honza takes his flight back to the Czech Republic in the morning  I`m really going to miss him.","0","1"
"_jeffe83 its all the rain","0","0"
"  i know. it sucks","0","1"
"_W wow-thanks soo much. Hope your well","1","0"
" Go to main settings page for iPhone and scroll down - you will see it","0","0"
"My name is toggling in and out of Google Suggestions Help me by searching more for 'Ganesh Jaju' and clicking on some link","0","0"
" ur not blind  i was just browsing & saw ur tweet & figured i could answer ur query plus i wanted to know too","0","0"
" whats wrong babe?  x","0","1"
" hey is there a way u can make a somatic theme for leopard? some themes have installers already that are shapeshifter independent","0","0"
"Why do people have 2 be so deceitful and unreal?  But my love for Steve Jones and Channing Tatum has been renewed lol...their soo nice","0","0"
" Me too I need the sudden urge to do it. Missing the Diplomat title","0","1"
"_Perez That`s great! I hope I`ll study with my bff too and we`ll live together. well..we will see","1","0"
"So effing tired  http://bit.ly/e0ZFz","0","1"
" Hey Lauren...I`m a huge fan! I hope you are having fun at Wango Tango!!","1","0"
"Want to get a Blackberry but can`t afford it  . Just watching the telly and relaxing. Hard sesion tomorrow.","0","1"
" Good afternoon Jonas Brothers  x","1","0"
" welcome back chica! hope you had a nice break","1","0"
" You mean set up to start using? just jump in! Use the # sign with whatever word you want to use","0","0"
"Goood Moring","1","0"
"Shower day.","0","0"
"WGN is playing old episodes of Rocky & Bullwinkle. Fractured Fairy Tales for the win","0","0"
"Im bumbed though cuz ima miss da laker game        |double sad face|","0","0"
"i hate the bus...any donations toward my car fund?","0","1"
" Bad rum experience in college - still haven`t recovered","0","1"
"1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today   Freakin filipino parents AHA","0","0"
"i need new running shoes!! my feet are completely torn up","0","1"
"off to work for the day","0","0"
" not so good","0","1"
"Wishing all the Mama`s out there a very Organic Happy Mother`s Day","1","0"
" Hey thanks for following  Love the name Elijah thats what im going to name my Son","1","0"
"Ive chosen Grease","0","0"
"Hahhahah I`m watching the greatest movie ever","1","0"
"Mmmm Ham  Yummy! I have hat hair...Stupid Deli ._.","0","0"
"LOL!!  I`m glad I`ve seen the original trailer or that wouldn`t have made sense     Someone certainly went to a lot... http://bit.ly/A0pyr","0","0"
" have a great camp!!!!! Wish I could be there.","1","0"
"i miss you tooooo  you arent too far! *A*","0","1"
"Watching Dr. Phil`s special on same-**** marriage. It`s sad how ignorant some people are","0","1"
"just sending a twitter from the club! i twittered u","0","0"
"Happy Mother`s Day to all the Mommiessss","1","0"
"UGH... I am soooo drag assing today  but on a brighter note I got my G1 update & it is the biznesssss!","0","0"
"  Chris` baby was born today!","0","0"
"massive headache. argh","0","1"
" #MusicMonday I agree it`s just an excuse for me to tweet music for hours on end","0","1"
"Poor Nicole just absolutely DESTROYED her cell phone","0","1"
"be sure to tell your Mom you love her and thank her for putting up with you!","1","0"
"I should`ve known something would go wrong. The van is having problems. Oh please tell me it will not cost us an arm and a leg","0","1"
"My mom was happy with my present  yayy","1","0"
"is watching neighbours!","0","0"
"_star v. good. i thought you were registered na?","1","0"
" Brent Cross? wow! I live very close from there!","1","0"
"working from home and ran out of coffee!","0","1"
"Greg:Showing my friends AudioBoo http://audioboo.fm/ Everyone seems 2 love it. Ta for the headzup bro. So need 2 get iPhone. Roll on June","1","0"
"using my twitter account","0","0"
"UGG WANT TO GO TO KAYLEN HOUSE BUT I CANT FINNA BE BORED THIS WEEKEND!!! UUURGG WANNA SPEND DA NITE  AND GO SEE UP AND GO SHOPPING","0","0"
"is is listening to Heart Ain`t Brain by Chris Brown.  http://plurk.com/p/x2bp2","0","0"
"is going to shul","0","0"
"  _c    Thank you for the FFs my friends!","1","0"
"Finally on my way home","0","0"
"wishing I was anywhere but here...","0","1"
"Hats off to a slightly unexpected yet very successful end to a grouling day!!! Night all","1","0"
" whuahahhaha you need to cut down on them Bram Ladages/Applejacks/pancakes","1","0"
" !!! Tell everyone I say hello","0","0"
"feeling lonely","0","1"
" I WISH YOU WERE GOING TOO!  are you still coming to nicoles preprom?  Can`t wait for preprom!!!!","1","0"
" I would love to but sadly I have to work","0","0"
"About to be stick at work till freakin 2 am.  Madd suck and I worked most the day!","0","1"
"thinks someone may have keyed her car.  Big scratches on the hood.","0","1"
" ii DON`T HAVE ANY EiTHER","0","1"
"Tweeting from the tarmac at Cork Airport. Delayed","0","1"
"It should be illegal for me to date","0","1"
"I scratched my iPod","0","1"
"omgeee that hurt like helll. finally got it back in. can`t close it put the ball back in","0","1"
"in bed watching Rove","0","0"
" take me with you!!!  Have fun!","1","0"
"Goddamn bloody stress and **** sending my body haywire","0","1"
"I miss my daddy so much.","0","1"
" Why is it going to be anti-social?","0","0"
"Then back to **** school","0","1"
"Now i cant find him  Gonna be a sleepless night tonight","0","1"
"Pretty  is it long or short? Sparkly or shiny? Lol","0","0"
"I wanna say happy mother`s day to all the mom`s including mine love u mama","1","0"
"I miss laughing till my stomache hurts","0","1"
"  Aww bless hope the phones okayy  x x","1","0"
" Me tooo!! Wish I could get you here","0","0"
"hi beautiful! How`s it going?  ","1","0"
" http://twitpic.com/4vp3x - *swoon* Nick looks so cute when he is serious  *faints*","0","0"
"_pyee sure","0","0"
"Ugh..just starting another 2 hours of behind the wheel for drivers ed","0","1"
"hurt. done trying..","0","1"
"My chick wont shut up  Will only stop chirping if i sit with the bloody thing.","0","1"
" well wassup than dont be scurred now! lol you`d probably like it if it came to biting!","0","0"
"had a fun day at the theatre... glad to be back in town for a while","1","0"
"interesting day. good overall","1","0"
"i want to cry","0","1"
"i wanna watch tormented. it`s showing on May 22","0","0"
" Good Morning  Hows u ?","1","0"
" ooh how is Milan? i could do with a holiday! Bfoyf is off to Geneva today visiting fam so ive got a weekend on my own","0","0"
" I wish our  didn`t close","0","1"
"Wishes  a Happy Mother`s Day!","1","0"
"My bum hurts.","0","1"
"Good night everyone...... Time to go mimmiz......","1","0"
"_Eclectic but then you leave","0","0"
"Flight to hurghada delayed 7 hours","0","1"
" actually I think Doogie Howser got the idea from the Captain`s Log.","0","0"
"no more brother for 2 weeks.....","1","0"
"there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.","0","0"
"is also very excited for the BLAZIN SQUAD revival!  im rooting for `em-- their new song http://tinyurl.com/dz7tms","1","0"
"off to do some gardening and get lots of fresh air - i love Sundays","1","0"
"listening to ECHO by Gorilla Zoe ahh love that song","1","0"
"Its so hot here","0","1"
"Just saw a dark burgundy Scion xB. That dark shade makes it look like a minivan because the shawdows of the lines and curves are lost.","0","1"
" wow! you`ve been tweeting all night!! looks like you totally made up for the day","1","0"
" somehow i cant reply to your message LOL and yes i know  Thank youuu","0","0"
" Where are u  miss you I hope you are doing well *sending big hugs*","1","0"
" I do that all the time","0","0"
"ughh...i dont feel good","0","1"
" Awesome! that`s how I wanna roll when I become mogul status","1","0"
" yeah I didn`t realize how bad it all was till now","0","1"
" Aww  Yeah I feel you. I know its hard.","0","1"
"I want to watch the movie 'Up' but no one wants to watch it with me","0","1"
" not sure... there are fanciful expensive ones - but some basic ones are not expensive... Try the 24hr `M` shopping place","0","0"
" i really am going to miss you","0","1"
"going away party at ambers  road trip tomorrow!","0","0"
"so tired.   only need to be here another 30 minutes.","0","1"
"Just finished The Minish Cap. It`s a great game! I`ll miss Ezlo and Link.","1","0"
"Back in the office for a hectic week - but the weekend was awesome","0","0"
" unfortunatley it is the tooth kind of crown","0","1"
"new project @ work","0","0"
" yep  which sucks because i thought somewhere it said it was..","0","1"
"My friends are mocking my weekend!   have they been talking to you?","0","0"
"Saturday is Partytiiime","1","0"
"Starting class. Today we start MediSoft.","0","0"
"**** i have something to say and no one is listening","0","1"
"recovering from mexican fiesta. Had a bit too much of a good time!","1","0"
"Good morning my little twitternut squashes   How are you all today? whats the weather like where you are?","1","0"
" Use mozy.com","0","0"
"Um... happy star wars day btw. Cheers to all you scruffy looking nerfherders and hot ami`s out there.","1","0"
" You`ll be waiting a loooong time","0","0"
" nothing is going on here is guess","0","0"
" Yay for full-term!!","1","0"
"http://twitpic.com/4wsy6 - Beauty.  Going out now!","0","0"
" awesome! cheers man! don`t know if i`ll have much money left after todays shopping spree though!","1","0"
"This already feels like one of those days where I just won`t be able to win.","0","1"
" When are you and  coming over so we can violently agree?","0","0"
"Two week extension on contract ... I`m ready for it to be done","0","0"
"she made my sister cry too hahah. bless her.  i hope she can do it again.","1","0"
" pshh. Thanks.","1","0"
"found six great vegan places to eat and relax at; four of which I can`t get to without a car","0","0"
"Is waiting for sumone to come online","0","0"
" you do realize tom fletcher from mcfly JUST posted basically the same thing!! TWINS!","0","0"
" dammm..i thought i was on to something  lollllll","0","1"
"Recovering from a lovely but slightly stressful weekend in France","0","0"
" YES!!! one final party  better make it a good one !! how much mpre stuff you got to go?","1","0"
" I would like to be able to go just to ONE of those","0","0"
"Woohoo..this is the day/week the Lord has made! Just remembered we get to wear jeans & chanclas all week!","0","0"
" Hello How are you","0","0"
"I lied have yet to see good looking men","0","0"
" Good Morning my Swedish Friend. I love the Meat Balls.  haha","1","0"
"i dont noe what to eat for breakfast hmmmmmmm im so hungry","0","0"
": aiaahh.. poor u  tell ur mom already?","0","1"
"_B_Judah i am too old for Vegas","0","0"
"Hello World","0","0"
"Roscoe - Smooth Sailin` WHY DID NO ONE TELL ME ABOUT THIS SONG?????? RAP FRIENDS U HAVE FAILED ME","0","1"
"i have the adam lambert version of FEELIN GOOD in my head... i miss idol already.","0","0"
"I`m at home recovering from major liver surgery.  In alot of pain.","0","1"
" don`t care about my struggles..","0","1"
" yeah I m so happy for them that they should moved on and out there partying I m so happy","1","0"
"Happy Mother`s Day Moms  Take a load of for at least a day!","1","0"
"Home. Don`t think i`ll wake up at 5. :-p I had set an alarm for 6 in the kids` room & forgot to turn it off. I feel bad about that.","0","1"
"Silly boyfriend forgets his phone charger on his 4 day long trip to Kilkenny and now I can`t talk to him and see how his gig went! Poo!","0","1"
"So my first aid shift started out with some excitement but now it`s kinda died down...  I wish I could do this more often!","0","0"
"Driving home after an ok night  Iwish","0","0"
"I hate sitting at the doctors office! They told me she is running an hour behind! AWESOME","0","0"
"_ i wanna go to the pub","0","0"
"aww only 15minutes left of family guy","0","0"
"getting bored of walking up and down the stairs","0","1"
"  HELLOOOO !!!","0","0"
"Thinking I`m super excited about this week!","1","0"
"i`m pretty bored/tried. my mom is going to be home in an hour.  is fixing to leave. aww...  she`s going to texas for a month..","0","1"
"Gonna go drop some logs in the pool  back in 15 min","0","0"
"FacePanda is cool","1","0"
"about to start my least favourite chore.... mopping the floor","0","1"
"why does twitter hate me i cant put no photos on my page","0","1"
"and were going to pune tomorrow","0","0"
"So many freebies for all my JBnoy friends  SPAM THREAD SOON.","0","1"
"NiGHT NiGHT MY TWiTTER LOVES ON THE PHONE THEN SLEEP","1","0"
"  5 days","0","0"
"Why the **** can`t I be over this ??? I feel like crying bit I realy don`t want to  why is this bothering me sooooooo much !?","0","1"
" sounds like my town","0","0"
"_Cullen8 i hate the rain *laughs*. thanks *smiles* i miss her loads i couldnt stop crying before","0","0"
" $300 later... I feel so good! But guilty","0","0"
" Ha Ha thanks Tom! I`m such a loser! Hopefully going on the 22nd June till 3rd July...what date u goin? u missing helen?  x","0","0"
"vmware fusion seems getting slower and slower","0","0"
"Happy 11th  I`m going to sleep now lolz","1","0"
"listening to some music!","0","0"
" thanks for the message - just worked out how to see them and reply!","1","0"
" Happy birthday. Let us know what you get up to old boy","1","0"
" yeah !!","0","0"
" lucky! been beggin for jury duty for years...they dont ever send me notices! just notices for other people to my address!","0","1"
" hey!  YAY! thanks!  wow ur page is awesome!!!!!","1","0"
"Im.in.the.room Im.watching.the.HANNAHmovie.withMOM.She.said.this.film.very.great.","1","0"
"Omg! My dad called me a johny come lately haha because I`m slow  haha","0","0"
